ID;Strecke;Netz;Kategorie;Specialcase;Uumzuleitenden Züge;Verspätungen = / > 5 Minuten;Zugausfälle;Zugvorplanfahrten;gesamte Veränderungen;abweichende / ausfallende Verkehrshalte;Zugbezogende Reglungen; örtliche Leistungen;KiGBAU;Maßnahmenart;Dauer in Tagen;Minuten
AKN_16b;133;Netz Nord;K1;3;0;0;64;0;64;0;0;32;1;A;4;169
AKN_16c;133;Netz Nord;K1;3;0;0;64;0;64;0;0;32;1;A;4;174
AKN_16d;133;Netz Nord;K1;3;0;0;64;0;64;0;0;32;1;A;4;169
AKN_16e;133;Netz Nord;K1;3;0;0;34;0;34;0;0;17;1;A;2;169
AKN_16e;133;Netz Nord;K1;3;0;0;30;0;30;0;0;15;0;A;2;158
AKN_23;133;Netz Nord;K1;3;0;0;64;0;64;0;0;32;1;A;4;169
Bündel 02.21.0007;131;Netz Mitte;K1;3;0;0;0;0;0;0;0;0;0;Bündel;29;5
Corona;103;Netz Mitte;K5;3;0;0;47;0;47;0;0;23,5;1;Corona;28;360
Halteverbot;104;Netz Ost;K1;3;0;0;0;0;0;0;0;0;0;Kosten;1;6
Halteverbot;135;Netz Nord;K1;3;0;0;0;0;0;0;0;0;0;Kosten;1;6
Streik;104;Netz Ost;K5;3;0;0;0;0;0;0;0;0;0;Streik;3;270
Streik;130;Netz West;K10;3;0;0;0;0;0;0;0;0;0;Streik;3;5
Streik;103;Netz Mitte;K5;3;0;0;0;0;0;0;0;0;1;Streik;3;224
Streik;140;Netz Ost;K5;3;0;0;0;0;0;0;0;0;0;Streik;3;270
Streik;145A;Netz Ost;K5;3;0;0;0;0;0;0;0;0;0;Streik;3;275
Streik;145B;Netz Ost;K5;3;0;0;0;0;0;0;0;0;0;Streik;3;275
Streik;131;Netz Mitte;K5;3;0;0;0;0;0;0;0;0;0;Streik;3;215
Streik;133;Netz Nord;K5;3;0;0;0;0;0;0;0;0;0;Streik;3;210
Streik;135;Netz Nord;K5;3;0;0;0;0;0;0;0;0;0;Streik;3;270
Streik;134;Netz Nord;K5;3;0;0;0;0;0;0;0;0;0;Streik;3;275
Streik;146;Netz Nord;K5;3;0;0;0;0;0;0;0;0;0;Streik;3;275
Streik;104;Netz Ost;K1;3;0;0;0;0;0;0;0;0;0;Streik;2;72
Streik;130;Netz West;K5;3;0;0;0;0;0;0;0;0;0;Streik;2;275
